date,total_mwh,peak_mwh,min_mwh,mean_mwh,peak_hour,load_factor,dow,month,year,temp_avg,temp_min,temp_max,rain_mm,humid,wind,solar_mj,sunshine_hr,CDD,HDD
2013-01-01,1285138.0,60178.0,49213.0,53547.41666666666,1,0.8898171535555629,1,1,2013,-4.7,-8.7,0.0,3.1,73.5,3.2,5.76,4.6,0.0,22.7
2013-01-02,1575248.0,73387.0,53571.0,65635.33333333333,18,0.8943727544842183,2,1,2013,-11.7,-15.1,-4.8,0.0,40.8,4.2,9.62,9.1,0.0,29.7
2013-01-03,1694967.0,76522.0,62461.0,70623.625,11,0.9229192258435482,3,1,2013,-13.2,-16.4,-9.3,0.0,42.8,2.8,9.78,9.1,0.0,31.2
2013-01-04,1700530.0,76375.0,64152.0,70855.41666666667,11,0.9277304964539008,4,1,2013,-10.7,-14.8,-5.8,0.0,44.3,1.8,9.54,9.2,0.0,28.7
2013-01-05,1551110.0,68053.0,62314.0,64629.583333333336,1,0.9496948456840012,5,1,2013,-7.0,-12.1,-1.2,0.0,59.4,2.3,8.09,7.5,0.0,25.0
2013-01-06,1410695.0,64147.0,55256.0,58778.958333333336,1,0.9163165593610508,6,1,2013,-6.3,-9.4,-2.0,0.0,59.4,1.9,7.97,8.2,0.0,24.3
2013-01-07,1625258.0,75383.0,57387.0,67719.08333333333,10,0.8983336207544583,0,1,2013,-5.1,-8.8,0.1,0.0,53.6,1.7,7.8,5.8,0.0,23.1
2013-01-08,1651654.0,75220.0,61928.0,68818.91666666667,10,0.9149018434813436,1,1,2013,-4.6,-6.8,-0.7,0.0,53.4,2.2,8.55,8.0,0.0,22.6
2013-01-09,1668998.0,75609.0,61853.0,69541.58333333333,10,0.9197527190325666,2,1,2013,-9.0,-10.7,-6.4,0.0,38.5,3.0,10.07,9.3,0.0,27.0
2013-01-10,1678452.0,75570.0,63217.0,69935.5,10,0.9254399894137886,3,1,2013,-8.3,-12.3,-3.6,0.0,41.3,2.3,9.74,9.1,0.0,26.3
2013-01-11,1651064.0,75583.0,63073.0,68794.33333333333,10,0.9101826248406828,4,1,2013,-3.2,-7.9,1.4,0.0,50.5,2.3,7.52,6.1,0.0,21.2
2013-01-12,1479677.0,65458.0,59451.0,61653.208333333336,1,0.941874306170878,5,1,2013,0.0,-2.7,4.2,0.1,70.0,2.5,5.67,3.2,0.0,18.0
2013-01-13,1363158.0,61334.0,54287.0,56798.25,1,0.9260483581700198,6,1,2013,-0.5,-3.0,3.3,0.0,65.6,1.6,5.77,0.6,0.0,18.5
2013-01-14,1570508.0,72869.0,54702.0,65437.833333333336,10,0.8980201914851766,0,1,2013,-2.1,-4.3,1.8,0.0,61.6,2.2,5.89,4.5,0.0,20.1
2013-01-15,1608596.0,73364.0,60210.0,67024.83333333333,10,0.9135929520382384,1,1,2013,-2.1,-5.5,2.0,0.0,57.0,2.0,6.87,4.1,0.0,20.1
2013-01-16,1607709.0,72808.0,59915.0,66987.875,10,0.920062012416218,2,1,2013,-2.6,-5.8,0.4,0.3,64.1,2.4,5.16,4.0,0.0,20.6
2013-01-17,1627230.0,73613.0,60323.0,67801.25,10,0.9210499504163668,3,1,2013,-5.8,-8.2,-2.5,0.0,62.9,2.8,7.97,7.3,0.0,23.8
2013-01-18,1623684.0,74135.0,61515.0,67653.5,10,0.9125716598098064,4,1,2013,-4.4,-9.2,0.2,0.0,51.9,2.0,9.79,9.3,0.0,22.4
2013-01-19,1466879.0,64737.0,59134.0,61119.958333333336,1,0.9441271349202672,5,1,2013,0.5,-2.5,4.6,0.0,59.9,2.0,7.74,6.5,0.0,17.5
2013-01-20,1343106.0,61013.0,52846.0,55962.75,1,0.9172266566141642,6,1,2013,1.6,-2.0,4.1,0.0,55.8,3.1,5.52,0.4,0.0,16.4
2013-01-21,1539531.0,71696.0,52803.0,64147.125,15,0.8947099559250168,0,1,2013,2.2,1.1,4.0,16.5,83.6,4.3,0.97,0.0,0.0,15.8
2013-01-22,1557522.0,70439.0,57677.0,64896.75,10,0.9213184457473844,1,1,2013,3.8,2.0,6.0,0.5,74.3,2.2,4.16,0.0,0.0,14.2
2013-01-23,1556171.0,70555.0,57136.0,64840.458333333336,10,0.9190058583138452,2,1,2013,1.8,1.0,3.8,1.5,80.4,3.1,0.89,0.0,0.0,16.2
2013-01-24,1575944.0,70895.0,57786.0,65664.33333333333,10,0.9262195265298444,3,1,2013,-0.9,-6.7,2.4,0.1,57.6,4.3,3.52,2.4,0.0,18.9
2013-01-25,1626457.0,73340.0,60679.0,67769.04166666667,10,0.9240392918825562,4,1,2013,-9.1,-10.8,-6.5,0.0,37.5,4.7,11.26,9.5,0.0,27.1
2013-01-26,1505669.0,66011.0,60899.0,62736.208333333336,1,0.9503902127423208,5,1,2013,-9.2,-11.9,-5.1,0.0,37.0,3.5,11.27,9.6,0.0,27.2
2013-01-27,1388955.0,63092.0,54854.0,57873.125,1,0.9172815095416218,6,1,2013,-7.3,-10.7,-3.9,0.0,44.9,2.6,10.9,9.5,0.0,25.3
2013-01-28,1587392.0,73589.0,56375.0,66141.33333333333,10,0.898793750877622,0,1,2013,-3.5,-8.9,0.2,0.0,56.0,2.1,6.04,3.7,0.0,21.5
2013-01-29,1583735.0,72309.0,59535.0,65988.95833333333,10,0.9125967491368064,1,1,2013,2.2,-0.3,3.7,0.0,63.5,2.7,1.8,0.0,0.0,15.8
2013-01-30,1536931.0,70366.0,58170.0,64038.79166666666,10,0.9100814550587878,2,1,2013,5.4,3.5,8.5,0.0,68.8,2.1,4.65,0.7,0.0,12.6
2013-01-31,1504449.0,69136.0,56717.0,62685.375,10,0.9066965835454756,3,1,2013,7.4,3.7,11.5,0.0,59.5,2.9,7.45,6.4,0.0,10.6
2013-02-01,1494216.0,67350.0,54960.0,62259.0,10,0.9244097995545656,4,2,2013,7.3,3.7,9.3,46.5,85.8,3.7,0.64,0.0,0.0,10.7
2013-02-02,1402494.0,62234.0,55413.0,58437.25,24,0.9389923514477616,5,2,2013,-1.1,-4.5,3.7,0.0,52.1,4.1,12.19,9.4,0.0,19.1
2013-02-03,1345544.0,60333.0,53808.0,56064.333333333336,24,0.929248227890762,6,2,2013,-3.2,-5.8,-1.1,7.5,62.3,2.7,2.7,0.2,0.0,21.2
2013-02-04,1527793.0,70352.0,53340.0,63658.04166666666,10,0.9048504899173678,0,2,2013,-0.8,-3.3,2.5,7.4,77.1,2.6,8.18,6.1,0.0,18.8
2013-02-05,1594047.0,72515.0,58613.0,66418.625,10,0.9159294628697512,1,2,2013,-0.6,-4.0,2.7,4.5,77.0,2.4,3.16,0.0,0.0,18.6
2013-02-06,1573775.0,70985.0,58430.0,65573.95833333333,10,0.9237720410415344,2,2,2013,-1.5,-3.1,0.2,2.1,75.0,3.3,9.35,5.8,0.0,19.5
2013-02-07,1644518.0,73964.0,59596.0,68521.58333333333,10,0.926418032195843,3,2,2013,-11.1,-13.8,-2.6,0.0,42.5,5.5,13.63,9.8,0.0,29.1
2013-02-08,1586638.0,74196.0,61353.0,66109.91666666667,10,0.8910172605890705,4,2,2013,-11.5,-15.8,-6.1,0.0,39.3,2.7,12.85,9.3,0.0,29.5
2013-02-09,1264931.0,62468.0,47773.0,52705.458333333336,1,0.8437193176239568,5,2,2013,-7.2,-12.3,-2.6,0.0,55.5,1.8,12.25,8.9,0.0,25.2
2013-02-10,1119540.0,54678.0,40338.0,46647.5,1,0.8531310581952523,6,2,2013,-4.0,-8.4,-0.5,1.2,56.6,2.9,11.62,8.6,0.0,22.0
2013-02-11,1178223.0,56338.0,45009.0,49092.625,24,0.8713945294472647,0,2,2013,-5.8,-10.4,-0.9,0.0,41.8,2.1,13.63,9.7,0.0,23.8
2013-02-12,1396544.0,62525.0,49690.0,58189.333333333336,12,0.9306570705051314,1,2,2013,-3.8,-4.8,-1.9,0.0,55.6,2.3,5.78,0.2,0.0,21.8
2013-02-13,1534073.0,70551.0,54644.0,63919.708333333336,10,0.9060071201447653,2,2,2013,-1.3,-6.3,2.9,0.0,59.6,2.0,13.01,9.3,0.0,19.3
2013-02-14,1559608.0,71414.0,57922.0,64983.66666666666,10,0.9099569645541024,3,2,2013,1.1,-2.6,5.2,0.0,60.1,2.3,11.31,7.4,0.0,16.9
2013-02-15,1542025.0,69697.0,57208.0,64251.04166666666,10,0.921862370929404,4,2,2013,-1.2,-5.2,1.5,0.0,48.4,3.9,14.35,9.7,0.0,19.2
2013-02-16,1455908.0,63952.0,57797.0,60662.833333333336,11,0.9485681969810692,5,2,2013,-2.6,-7.0,2.6,0.0,38.8,2.1,13.9,9.6,0.0,20.6
2013-02-17,1327834.0,59718.0,53170.0,55326.41666666666,1,0.9264613126137288,6,2,2013,2.3,-2.1,5.8,0.0,44.5,2.5,7.57,3.6,0.0,15.7
2013-02-18,1513832.0,70278.0,52002.0,63076.333333333336,10,0.8975260157280135,0,2,2013,0.5,-2.5,3.1,0.0,49.8,3.5,10.1,5.7,0.0,17.5
2013-02-19,1563952.0,71243.0,57570.0,65164.66666666666,10,0.9146816763284346,1,2,2013,-2.9,-7.1,0.6,0.0,27.5,4.0,14.59,9.6,0.0,20.9
2013-02-20,1584378.0,71826.0,59362.0,66015.75,10,0.9191065909280762,2,2,2013,-4.8,-8.7,0.0,0.0,35.3,2.6,14.55,9.5,0.0,22.8
2013-02-21,1571780.0,71294.0,59166.0,65490.833333333336,10,0.9186023134251596,3,2,2013,-1.7,-5.3,2.5,0.0,49.0,2.5,13.68,9.0,0.0,19.7
2013-02-22,1552322.0,70240.0,58535.0,64680.083333333336,10,0.9208440110098708,4,2,2013,0.5,-3.1,4.3,3.9,57.1,3.1,11.62,7.4,0.0,17.5
