date,total_mwh,peak_mwh,min_mwh,mean_mwh,peak_hour,load_factor,dow,month,year
2013-01-01,1285138.0,60178.0,49213.0,53547.416666666664,1,0.8898171535555629,1,1,2013
2013-01-02,1575248.0,73387.0,53571.0,65635.33333333333,18,0.8943727544842183,2,1,2013
2013-01-03,1694967.0,76522.0,62461.0,70623.625,11,0.9229192258435482,3,1,2013
2013-01-04,1700530.0,76375.0,64152.0,70855.41666666667,11,0.9277304964539008,4,1,2013
2013-01-05,1551110.0,68053.0,62314.0,64629.583333333336,1,0.9496948456840012,5,1,2013
2013-01-06,1410695.0,64147.0,55256.0,58778.958333333336,1,0.9163165593610509,6,1,2013
2013-01-07,1625258.0,75383.0,57387.0,67719.08333333333,10,0.8983336207544583,0,1,2013
2013-01-08,1651654.0,75220.0,61928.0,68818.91666666667,10,0.9149018434813436,1,1,2013
2013-01-09,1668998.0,75609.0,61853.0,69541.58333333333,10,0.9197527190325666,2,1,2013
2013-01-10,1678452.0,75570.0,63217.0,69935.5,10,0.9254399894137886,3,1,2013
2013-01-11,1651064.0,75583.0,63073.0,68794.33333333333,10,0.9101826248406828,4,1,2013
2013-01-12,1479677.0,65458.0,59451.0,61653.208333333336,1,0.9418743061708781,5,1,2013
2013-01-13,1363158.0,61334.0,54287.0,56798.25,1,0.9260483581700198,6,1,2013
2013-01-14,1570508.0,72869.0,54702.0,65437.833333333336,10,0.8980201914851766,0,1,2013
2013-01-15,1608596.0,73364.0,60210.0,67024.83333333333,10,0.9135929520382385,1,1,2013
2013-01-16,1607709.0,72808.0,59915.0,66987.875,10,0.920062012416218,2,1,2013
2013-01-17,1627230.0,73613.0,60323.0,67801.25,10,0.9210499504163667,3,1,2013
2013-01-18,1623684.0,74135.0,61515.0,67653.5,10,0.9125716598098065,4,1,2013
2013-01-19,1466879.0,64737.0,59134.0,61119.958333333336,1,0.9441271349202671,5,1,2013
2013-01-20,1343106.0,61013.0,52846.0,55962.75,1,0.9172266566141642,6,1,2013
2013-01-21,1539531.0,71696.0,52803.0,64147.125,15,0.8947099559250168,0,1,2013
2013-01-22,1557522.0,70439.0,57677.0,64896.75,10,0.9213184457473843,1,1,2013
2013-01-23,1556171.0,70555.0,57136.0,64840.458333333336,10,0.9190058583138451,2,1,2013
2013-01-24,1575944.0,70895.0,57786.0,65664.33333333333,10,0.9262195265298445,3,1,2013
2013-01-25,1626457.0,73340.0,60679.0,67769.04166666667,10,0.9240392918825562,4,1,2013
2013-01-26,1505669.0,66011.0,60899.0,62736.208333333336,1,0.9503902127423207,5,1,2013
2013-01-27,1388955.0,63092.0,54854.0,57873.125,1,0.9172815095416218,6,1,2013
2013-01-28,1587392.0,73589.0,56375.0,66141.33333333333,10,0.898793750877622,0,1,2013
2013-01-29,1583735.0,72309.0,59535.0,65988.95833333333,10,0.9125967491368063,1,1,2013
2013-01-30,1536931.0,70366.0,58170.0,64038.791666666664,10,0.9100814550587878,2,1,2013
2013-01-31,1504449.0,69136.0,56717.0,62685.375,10,0.9066965835454756,3,1,2013
2013-02-01,1494216.0,67350.0,54960.0,62259.0,10,0.9244097995545657,4,2,2013
2013-02-02,1402494.0,62234.0,55413.0,58437.25,24,0.9389923514477617,5,2,2013
2013-02-03,1345544.0,60333.0,53808.0,56064.333333333336,24,0.9292482278907619,6,2,2013
2013-02-04,1527793.0,70352.0,53340.0,63658.041666666664,10,0.9048504899173678,0,2,2013
2013-02-05,1594047.0,72515.0,58613.0,66418.625,10,0.9159294628697511,1,2,2013
2013-02-06,1573775.0,70985.0,58430.0,65573.95833333333,10,0.9237720410415345,2,2,2013
2013-02-07,1644518.0,73964.0,59596.0,68521.58333333333,10,0.926418032195843,3,2,2013
2013-02-08,1586638.0,74196.0,61353.0,66109.91666666667,10,0.8910172605890705,4,2,2013
2013-02-09,1264931.0,62468.0,47773.0,52705.458333333336,1,0.8437193176239568,5,2,2013
2013-02-10,1119540.0,54678.0,40338.0,46647.5,1,0.8531310581952523,6,2,2013
2013-02-11,1178223.0,56338.0,45009.0,49092.625,24,0.8713945294472647,0,2,2013
2013-02-12,1396544.0,62525.0,49690.0,58189.333333333336,12,0.9306570705051314,1,2,2013
2013-02-13,1534073.0,70551.0,54644.0,63919.708333333336,10,0.9060071201447653,2,2,2013
2013-02-14,1559608.0,71414.0,57922.0,64983.666666666664,10,0.9099569645541024,3,2,2013
2013-02-15,1542025.0,69697.0,57208.0,64251.041666666664,10,0.9218623709294039,4,2,2013
2013-02-16,1455908.0,63952.0,57797.0,60662.833333333336,11,0.9485681969810692,5,2,2013
2013-02-17,1327834.0,59718.0,53170.0,55326.416666666664,1,0.9264613126137289,6,2,2013
2013-02-18,1513832.0,70278.0,52002.0,63076.333333333336,10,0.8975260157280135,0,2,2013
2013-02-19,1563952.0,71243.0,57570.0,65164.666666666664,10,0.9146816763284346,1,2,2013
2013-02-20,1584378.0,71826.0,59362.0,66015.75,10,0.9191065909280762,2,2,2013
2013-02-21,1571780.0,71294.0,59166.0,65490.833333333336,10,0.9186023134251597,3,2,2013
2013-02-22,1552322.0,70240.0,58535.0,64680.083333333336,10,0.9208440110098709,4,2,2013
2013-02-23,1440086.0,62773.0,57379.0,60003.583333333336,11,0.9558820405800796,5,2,2013
2013-02-24,1307906.0,59503.0,51070.0,54496.083333333336,1,0.9158543826921892,6,2,2013
2013-02-25,1487808.0,69513.0,51948.0,61992.0,11,0.891804410685771,0,2,2013
2013-02-26,1522279.0,69758.0,55997.0,63428.291666666664,11,0.9092619006661123,1,2,2013
2013-02-27,1477230.0,66919.0,55572.0,61551.25,10,0.9197873548618479,2,2,2013
2013-02-28,1451751.0,66378.0,55018.0,60489.625,10,0.9112902618337401,3,2,2013
2013-03-01,1378493.0,61639.0,53330.0,57437.208333333336,24,0.9318322544709249,4,3,2013
2013-03-02,1357992.0,60144.0,54107.0,56583.0,24,0.94079209896249,5,3,2013
2013-03-03,1270011.0,57568.0,49667.0,52917.125,23,0.9192107594496943,6,3,2013
2013-03-04,1484022.0,69653.0,50769.0,61834.25,11,0.8877471178556559,0,3,2013
2013-03-05,1510100.0,69252.0,55902.0,62920.833333333336,10,0.9085778509405265,1,3,2013
2013-03-06,1486277.0,68551.0,55330.0,61928.208333333336,10,0.9033888394528649,2,3,2013
2013-03-07,1465742.0,66035.0,53510.0,61072.583333333336,11,0.9248517200474496,3,3,2013
2013-03-08,1446235.0,66335.0,53063.0,60259.791666666664,10,0.9084162458229692,4,3,2013
2013-03-09,1307731.0,57125.0,51839.0,54488.791666666664,11,0.9538519328956965,5,3,2013
2013-03-10,1207412.0,55328.0,47901.0,50308.833333333336,23,0.909283424908425,6,3,2013
2013-03-11,1415621.0,66073.0,48065.0,58984.208333333336,11,0.892712731877368,0,3,2013
2013-03-12,1452932.0,66052.0,53018.0,60538.833333333336,10,0.9165329336482367,1,3,2013
2013-03-13,1460743.0,66668.0,51890.0,60864.291666666664,11,0.9129461160776784,2,3,2013
