datetime,date,hour,demand_mwh
2013-01-01 01:00:00,2013-01-01,1,60178.0
2013-01-01 02:00:00,2013-01-01,2,57862.0
2013-01-01 03:00:00,2013-01-01,3,56165.0
2013-01-01 04:00:00,2013-01-01,4,55135.0
2013-01-01 05:00:00,2013-01-01,5,54450.0
2013-01-01 06:00:00,2013-01-01,6,54401.0
2013-01-01 07:00:00,2013-01-01,7,54147.0
2013-01-01 08:00:00,2013-01-01,8,52467.0
2013-01-01 09:00:00,2013-01-01,9,50469.0
2013-01-01 10:00:00,2013-01-01,10,49572.0
2013-01-01 11:00:00,2013-01-01,11,50034.0
2013-01-01 12:00:00,2013-01-01,12,50026.0
2013-01-01 13:00:00,2013-01-01,13,49515.0
2013-01-01 14:00:00,2013-01-01,14,49365.0
2013-01-01 15:00:00,2013-01-01,15,49213.0
2013-01-01 16:00:00,2013-01-01,16,49357.0
2013-01-01 17:00:00,2013-01-01,17,50362.0
2013-01-01 18:00:00,2013-01-01,18,53115.0
2013-01-01 19:00:00,2013-01-01,19,55205.0
2013-01-01 20:00:00,2013-01-01,20,55437.0
2013-01-01 21:00:00,2013-01-01,21,55348.0
2013-01-01 22:00:00,2013-01-01,22,55790.0
2013-01-01 23:00:00,2013-01-01,23,58195.0
2013-01-02 00:00:00,2013-01-01,24,59330.0
2013-01-02 01:00:00,2013-01-02,1,57067.0
2013-01-02 02:00:00,2013-01-02,2,55148.0
2013-01-02 03:00:00,2013-01-02,3,53983.0
2013-01-02 04:00:00,2013-01-02,4,53571.0
2013-01-02 05:00:00,2013-01-02,5,54027.0
2013-01-02 06:00:00,2013-01-02,6,55388.0
2013-01-02 07:00:00,2013-01-02,7,57753.0
2013-01-02 08:00:00,2013-01-02,8,60781.0
2013-01-02 09:00:00,2013-01-02,9,66494.0
2013-01-02 10:00:00,2013-01-02,10,70869.0
2013-01-02 11:00:00,2013-01-02,11,72867.0
2013-01-02 12:00:00,2013-01-02,12,73115.0
2013-01-02 13:00:00,2013-01-02,13,69165.0
2013-01-02 14:00:00,2013-01-02,14,71429.0
2013-01-02 15:00:00,2013-01-02,15,72228.0
2013-01-02 16:00:00,2013-01-02,16,71945.0
2013-01-02 17:00:00,2013-01-02,17,72641.0
2013-01-02 18:00:00,2013-01-02,18,73387.0
2013-01-02 19:00:00,2013-01-02,19,72294.0
2013-01-02 20:00:00,2013-01-02,20,69989.0
2013-01-02 21:00:00,2013-01-02,21,67893.0
2013-01-02 22:00:00,2013-01-02,22,66504.0
2013-01-02 23:00:00,2013-01-02,23,67435.0
2013-01-03 00:00:00,2013-01-02,24,69275.0
2013-01-03 01:00:00,2013-01-03,1,66263.0
2013-01-03 02:00:00,2013-01-03,2,64233.0
2013-01-03 03:00:00,2013-01-03,3,63194.0
2013-01-03 04:00:00,2013-01-03,4,62461.0
2013-01-03 05:00:00,2013-01-03,5,62649.0
2013-01-03 06:00:00,2013-01-03,6,63396.0
2013-01-03 07:00:00,2013-01-03,7,65098.0
2013-01-03 08:00:00,2013-01-03,8,67745.0
2013-01-03 09:00:00,2013-01-03,9,72982.0
2013-01-03 10:00:00,2013-01-03,10,75999.0
2013-01-03 11:00:00,2013-01-03,11,76522.0
2013-01-03 12:00:00,2013-01-03,12,76019.0
2013-01-03 13:00:00,2013-01-03,13,72203.0
2013-01-03 14:00:00,2013-01-03,14,74725.0
2013-01-03 15:00:00,2013-01-03,15,75576.0
2013-01-03 16:00:00,2013-01-03,16,75168.0
2013-01-03 17:00:00,2013-01-03,17,75791.0
2013-01-03 18:00:00,2013-01-03,18,75922.0
2013-01-03 19:00:00,2013-01-03,19,75469.0
2013-01-03 20:00:00,2013-01-03,20,73118.0
2013-01-03 21:00:00,2013-01-03,21,70769.0
2013-01-03 22:00:00,2013-01-03,22,68726.0
2013-01-03 23:00:00,2013-01-03,23,69593.0
2013-01-04 00:00:00,2013-01-03,24,71346.0
2013-01-04 01:00:00,2013-01-04,1,68403.0
2013-01-04 02:00:00,2013-01-04,2,66143.0
2013-01-04 03:00:00,2013-01-04,3,65051.0
2013-01-04 04:00:00,2013-01-04,4,64245.0
2013-01-04 05:00:00,2013-01-04,5,64152.0
2013-01-04 06:00:00,2013-01-04,6,64678.0
2013-01-04 07:00:00,2013-01-04,7,66494.0
2013-01-04 08:00:00,2013-01-04,8,68851.0
2013-01-04 09:00:00,2013-01-04,9,73835.0
2013-01-04 10:00:00,2013-01-04,10,76175.0
2013-01-04 11:00:00,2013-01-04,11,76375.0
2013-01-04 12:00:00,2013-01-04,12,75862.0
2013-01-04 13:00:00,2013-01-04,13,72288.0
2013-01-04 14:00:00,2013-01-04,14,74360.0
2013-01-04 15:00:00,2013-01-04,15,74977.0
2013-01-04 16:00:00,2013-01-04,16,74275.0
2013-01-04 17:00:00,2013-01-04,17,74909.0
2013-01-04 18:00:00,2013-01-04,18,75344.0
2013-01-04 19:00:00,2013-01-04,19,74504.0
2013-01-04 20:00:00,2013-01-04,20,71957.0
2013-01-04 21:00:00,2013-01-04,21,69715.0
2013-01-04 22:00:00,2013-01-04,22,68155.0
2013-01-04 23:00:00,2013-01-04,23,68948.0
2013-01-05 00:00:00,2013-01-04,24,70834.0
2013-01-05 01:00:00,2013-01-05,1,68053.0
2013-01-05 02:00:00,2013-01-05,2,65801.0
2013-01-05 03:00:00,2013-01-05,3,64439.0
2013-01-05 04:00:00,2013-01-05,4,63437.0
2013-01-05 05:00:00,2013-01-05,5,63135.0
2013-01-05 06:00:00,2013-01-05,6,63250.0
2013-01-05 07:00:00,2013-01-05,7,63658.0
2013-01-05 08:00:00,2013-01-05,8,63441.0
2013-01-05 09:00:00,2013-01-05,9,65640.0
2013-01-05 10:00:00,2013-01-05,10,66806.0
2013-01-05 11:00:00,2013-01-05,11,68030.0
2013-01-05 12:00:00,2013-01-05,12,67878.0
2013-01-05 13:00:00,2013-01-05,13,64439.0
2013-01-05 14:00:00,2013-01-05,14,64986.0
2013-01-05 15:00:00,2013-01-05,15,64767.0
2013-01-05 16:00:00,2013-01-05,16,63613.0
2013-01-05 17:00:00,2013-01-05,17,63095.0
2013-01-05 18:00:00,2013-01-05,18,63230.0
2013-01-05 19:00:00,2013-01-05,19,64253.0
2013-01-05 20:00:00,2013-01-05,20,63353.0
2013-01-05 21:00:00,2013-01-05,21,62455.0
2013-01-05 22:00:00,2013-01-05,22,62314.0
2013-01-05 23:00:00,2013-01-05,23,64350.0
2013-01-06 00:00:00,2013-01-05,24,66687.0
2013-01-06 01:00:00,2013-01-06,1,64147.0
2013-01-06 02:00:00,2013-01-06,2,62054.0
2013-01-06 03:00:00,2013-01-06,3,60827.0
2013-01-06 04:00:00,2013-01-06,4,59823.0
2013-01-06 05:00:00,2013-01-06,5,59442.0
2013-01-06 06:00:00,2013-01-06,6,59340.0
2013-01-06 07:00:00,2013-01-06,7,59028.0
2013-01-06 08:00:00,2013-01-06,8,57577.0
2013-01-06 09:00:00,2013-01-06,9,56203.0
2013-01-06 10:00:00,2013-01-06,10,55723.0
2013-01-06 11:00:00,2013-01-06,11,56592.0
2013-01-06 12:00:00,2013-01-06,12,56479.0
2013-01-06 13:00:00,2013-01-06,13,55607.0
2013-01-06 14:00:00,2013-01-06,14,55803.0
2013-01-06 15:00:00,2013-01-06,15,55452.0
2013-01-06 16:00:00,2013-01-06,16,55256.0
2013-01-06 17:00:00,2013-01-06,17,56044.0
2013-01-06 18:00:00,2013-01-06,18,58365.0
2013-01-06 19:00:00,2013-01-06,19,60500.0
2013-01-06 20:00:00,2013-01-06,20,60355.0
2013-01-06 21:00:00,2013-01-06,21,60217.0
2013-01-06 22:00:00,2013-01-06,22,60269.0
2013-01-06 23:00:00,2013-01-06,23,62333.0
2013-01-07 00:00:00,2013-01-06,24,63259.0
2013-01-07 01:00:00,2013-01-07,1,60754.0
2013-01-07 02:00:00,2013-01-07,2,58974.0
2013-01-07 03:00:00,2013-01-07,3,57845.0
2013-01-07 04:00:00,2013-01-07,4,57387.0
2013-01-07 05:00:00,2013-01-07,5,57749.0
2013-01-07 06:00:00,2013-01-07,6,58794.0
2013-01-07 07:00:00,2013-01-07,7,60869.0
2013-01-07 08:00:00,2013-01-07,8,64665.0
2013-01-07 09:00:00,2013-01-07,9,71544.0
2013-01-07 10:00:00,2013-01-07,10,75383.0
2013-01-07 11:00:00,2013-01-07,11,74984.0
2013-01-07 12:00:00,2013-01-07,12,74066.0
2013-01-07 13:00:00,2013-01-07,13,70335.0
2013-01-07 14:00:00,2013-01-07,14,72507.0
2013-01-07 15:00:00,2013-01-07,15,73064.0
2013-01-07 16:00:00,2013-01-07,16,72466.0
2013-01-07 17:00:00,2013-01-07,17,73274.0
2013-01-07 18:00:00,2013-01-07,18,73844.0
2013-01-07 19:00:00,2013-01-07,19,73287.0
2013-01-07 20:00:00,2013-01-07,20,71062.0
2013-01-07 21:00:00,2013-01-07,21,68628.0
2013-01-07 22:00:00,2013-01-07,22,66861.0
2013-01-07 23:00:00,2013-01-07,23,67697.0
2013-01-08 00:00:00,2013-01-07,24,69219.0
2013-01-08 01:00:00,2013-01-08,1,66127.0
2013-01-08 02:00:00,2013-01-08,2,63913.0
2013-01-08 03:00:00,2013-01-08,3,62369.0
2013-01-08 04:00:00,2013-01-08,4,61928.0
2013-01-08 05:00:00,2013-01-08,5,62052.0
2013-01-08 06:00:00,2013-01-08,6,62756.0
2013-01-08 07:00:00,2013-01-08,7,64570.0
2013-01-08 08:00:00,2013-01-08,8,67199.0
2013-01-08 09:00:00,2013-01-08,9,72838.0
2013-01-08 10:00:00,2013-01-08,10,75220.0
2013-01-08 11:00:00,2013-01-08,11,74003.0
2013-01-08 12:00:00,2013-01-08,12,72755.0
2013-01-08 13:00:00,2013-01-08,13,69201.0
2013-01-08 14:00:00,2013-01-08,14,71327.0
2013-01-08 15:00:00,2013-01-08,15,71805.0
2013-01-08 16:00:00,2013-01-08,16,71143.0
2013-01-08 17:00:00,2013-01-08,17,72190.0
2013-01-08 18:00:00,2013-01-08,18,73167.0
2013-01-08 19:00:00,2013-01-08,19,73233.0
2013-01-08 20:00:00,2013-01-08,20,71045.0
2013-01-08 21:00:00,2013-01-08,21,68812.0
2013-01-08 22:00:00,2013-01-08,22,66925.0
2013-01-08 23:00:00,2013-01-08,23,67650.0
2013-01-09 00:00:00,2013-01-08,24,69426.0
2013-01-09 01:00:00,2013-01-09,1,66329.0
2013-01-09 02:00:00,2013-01-09,2,64004.0
2013-01-09 03:00:00,2013-01-09,3,62638.0
2013-01-09 04:00:00,2013-01-09,4,61853.0
2013-01-09 05:00:00,2013-01-09,5,62157.0
2013-01-09 06:00:00,2013-01-09,6,63005.0
2013-01-09 07:00:00,2013-01-09,7,65030.0
2013-01-09 08:00:00,2013-01-09,8,67493.0
2013-01-09 09:00:00,2013-01-09,9,73051.0
2013-01-09 10:00:00,2013-01-09,10,75609.0
2013-01-09 11:00:00,2013-01-09,11,74476.0
2013-01-09 12:00:00,2013-01-09,12,73545.0
2013-01-09 13:00:00,2013-01-09,13,70249.0
2013-01-09 14:00:00,2013-01-09,14,72821.0
2013-01-09 15:00:00,2013-01-09,15,73511.0
2013-01-09 16:00:00,2013-01-09,16,72980.0
2013-01-09 17:00:00,2013-01-09,17,73797.0
2013-01-09 18:00:00,2013-01-09,18,74423.0
2013-01-09 19:00:00,2013-01-09,19,73761.0
2013-01-09 20:00:00,2013-01-09,20,71789.0
2013-01-09 21:00:00,2013-01-09,21,69623.0
2013-01-09 22:00:00,2013-01-09,22,67932.0
2013-01-09 23:00:00,2013-01-09,23,68560.0
2013-01-10 00:00:00,2013-01-09,24,70362.0
2013-01-10 01:00:00,2013-01-10,1,67341.0
2013-01-10 02:00:00,2013-01-10,2,65379.0
2013-01-10 03:00:00,2013-01-10,3,64011.0
2013-01-10 04:00:00,2013-01-10,4,63217.0
2013-01-10 05:00:00,2013-01-10,5,63363.0
2013-01-10 06:00:00,2013-01-10,6,64061.0
2013-01-10 07:00:00,2013-01-10,7,65889.0
2013-01-10 08:00:00,2013-01-10,8,68372.0
2013-01-10 09:00:00,2013-01-10,9,73740.0
2013-01-10 10:00:00,2013-01-10,10,75570.0
2013-01-10 11:00:00,2013-01-10,11,72291.0
2013-01-10 12:00:00,2013-01-10,12,73507.0
2013-01-10 13:00:00,2013-01-10,13,70314.0
2013-01-10 14:00:00,2013-01-10,14,72845.0
2013-01-10 15:00:00,2013-01-10,15,73466.0
2013-01-10 16:00:00,2013-01-10,16,72934.0
2013-01-10 17:00:00,2013-01-10,17,73763.0
2013-01-10 18:00:00,2013-01-10,18,74559.0
2013-01-10 19:00:00,2013-01-10,19,74289.0
2013-01-10 20:00:00,2013-01-10,20,71914.0
2013-01-10 21:00:00,2013-01-10,21,69902.0
2013-01-10 22:00:00,2013-01-10,22,68233.0
2013-01-10 23:00:00,2013-01-10,23,68862.0
2013-01-11 00:00:00,2013-01-10,24,70630.0
2013-01-11 01:00:00,2013-01-11,1,67648.0
2013-01-11 02:00:00,2013-01-11,2,65422.0
2013-01-11 03:00:00,2013-01-11,3,63995.0
2013-01-11 04:00:00,2013-01-11,4,63128.0
2013-01-11 05:00:00,2013-01-11,5,63073.0
2013-01-11 06:00:00,2013-01-11,6,63801.0
2013-01-11 07:00:00,2013-01-11,7,65398.0
2013-01-11 08:00:00,2013-01-11,8,67727.0
2013-01-11 09:00:00,2013-01-11,9,73175.0
2013-01-11 10:00:00,2013-01-11,10,75583.0
2013-01-11 11:00:00,2013-01-11,11,74080.0
2013-01-11 12:00:00,2013-01-11,12,72729.0
2013-01-11 13:00:00,2013-01-11,13,68948.0
2013-01-11 14:00:00,2013-01-11,14,71113.0
2013-01-11 15:00:00,2013-01-11,15,71544.0
2013-01-11 16:00:00,2013-01-11,16,70927.0
2013-01-11 17:00:00,2013-01-11,17,71592.0
2013-01-11 18:00:00,2013-01-11,18,72151.0
2013-01-11 19:00:00,2013-01-11,19,71495.0
2013-01-11 20:00:00,2013-01-11,20,69387.0
2013-01-11 21:00:00,2013-01-11,21,67411.0
2013-01-11 22:00:00,2013-01-11,22,65757.0
2013-01-11 23:00:00,2013-01-11,23,66646.0
2013-01-12 00:00:00,2013-01-11,24,68334.0
2013-01-12 01:00:00,2013-01-12,1,65458.0
2013-01-12 02:00:00,2013-01-12,2,63146.0
2013-01-12 03:00:00,2013-01-12,3,61559.0
2013-01-12 04:00:00,2013-01-12,4,60588.0
2013-01-12 05:00:00,2013-01-12,5,60499.0
2013-01-12 06:00:00,2013-01-12,6,60859.0
2013-01-12 07:00:00,2013-01-12,7,60945.0
2013-01-12 08:00:00,2013-01-12,8,60808.0
2013-01-12 09:00:00,2013-01-12,9,62856.0
2013-01-12 10:00:00,2013-01-12,10,63973.0
2013-01-12 11:00:00,2013-01-12,11,64648.0
2013-01-12 12:00:00,2013-01-12,12,64124.0
2013-01-12 13:00:00,2013-01-12,13,60824.0
2013-01-12 14:00:00,2013-01-12,14,61247.0
2013-01-12 15:00:00,2013-01-12,15,60871.0
2013-01-12 16:00:00,2013-01-12,16,59879.0
2013-01-12 17:00:00,2013-01-12,17,59451.0
2013-01-12 18:00:00,2013-01-12,18,59796.0
2013-01-12 19:00:00,2013-01-12,19,60821.0
2013-01-12 20:00:00,2013-01-12,20,60564.0
2013-01-12 21:00:00,2013-01-12,21,60178.0
2013-01-12 22:00:00,2013-01-12,22,60199.0
2013-01-12 23:00:00,2013-01-12,23,62156.0
2013-01-13 00:00:00,2013-01-12,24,64228.0
2013-01-13 01:00:00,2013-01-13,1,61334.0
2013-01-13 02:00:00,2013-01-13,2,59241.0
2013-01-13 03:00:00,2013-01-13,3,57779.0
2013-01-13 04:00:00,2013-01-13,4,56871.0
2013-01-13 05:00:00,2013-01-13,5,56900.0
2013-01-13 06:00:00,2013-01-13,6,57131.0
2013-01-13 07:00:00,2013-01-13,7,56953.0
2013-01-13 08:00:00,2013-01-13,8,55474.0
2013-01-13 09:00:00,2013-01-13,9,54614.0
2013-01-13 10:00:00,2013-01-13,10,54526.0
2013-01-13 11:00:00,2013-01-13,11,55465.0
2013-01-13 12:00:00,2013-01-13,12,55256.0
2013-01-13 13:00:00,2013-01-13,13,54435.0
2013-01-13 14:00:00,2013-01-13,14,54665.0
2013-01-13 15:00:00,2013-01-13,15,54469.0
2013-01-13 16:00:00,2013-01-13,16,54287.0
2013-01-13 17:00:00,2013-01-13,17,54578.0
2013-01-13 18:00:00,2013-01-13,18,56329.0
2013-01-13 19:00:00,2013-01-13,19,58047.0
2013-01-13 20:00:00,2013-01-13,20,57883.0
2013-01-13 21:00:00,2013-01-13,21,57768.0
2013-01-13 22:00:00,2013-01-13,22,57959.0
2013-01-13 23:00:00,2013-01-13,23,60132.0
2013-01-14 00:00:00,2013-01-13,24,61062.0
2013-01-14 01:00:00,2013-01-14,1,58289.0
2013-01-14 02:00:00,2013-01-14,2,56062.0
2013-01-14 03:00:00,2013-01-14,3,54889.0
2013-01-14 04:00:00,2013-01-14,4,54702.0
2013-01-14 05:00:00,2013-01-14,5,55119.0
2013-01-14 06:00:00,2013-01-14,6,56717.0
2013-01-14 07:00:00,2013-01-14,7,59167.0
2013-01-14 08:00:00,2013-01-14,8,62472.0
2013-01-14 09:00:00,2013-01-14,9,69574.0
2013-01-14 10:00:00,2013-01-14,10,72869.0
2013-01-14 11:00:00,2013-01-14,11,72152.0
