tm,avgTa,minTa,maxTa,sumRn,avgRhm,avgWs,sumGsr,sumSsHr
2013-01-01,-4.7,-8.7,0.0,3.1,73.5,3.2,5.76,4.6
2013-01-02,-11.7,-15.1,-4.8,,40.8,4.2,9.62,9.1
2013-01-03,-13.2,-16.4,-9.3,,42.8,2.8,9.78,9.1
2013-01-04,-10.7,-14.8,-5.8,,44.3,1.8,9.54,9.2
2013-01-05,-7.0,-12.1,-1.2,,59.4,2.3,8.09,7.5
2013-01-06,-6.3,-9.4,-2.0,,59.4,1.9,7.97,8.2
2013-01-07,-5.1,-8.8,0.1,,53.6,1.7,7.8,5.8
2013-01-08,-4.6,-6.8,-0.7,,53.4,2.2,8.55,8.0
2013-01-09,-9.0,-10.7,-6.4,,38.5,3.0,10.07,9.3
2013-01-10,-8.3,-12.3,-3.6,,41.3,2.3,9.74,9.1
2013-01-11,-3.2,-7.9,1.4,0.0,50.5,2.3,7.52,6.1
2013-01-12,0.0,-2.7,4.2,0.1,70.0,2.5,5.67,3.2
2013-01-13,-0.5,-3.0,3.3,,65.6,1.6,5.77,0.6
2013-01-14,-2.1,-4.3,1.8,,61.6,2.2,5.89,4.5
2013-01-15,-2.1,-5.5,2.0,,57.0,2.0,6.87,4.1
2013-01-16,-2.6,-5.8,0.4,0.3,64.1,2.4,5.16,4.0
2013-01-17,-5.8,-8.2,-2.5,,62.9,2.8,7.97,7.3
2013-01-18,-4.4,-9.2,0.2,,51.9,2.0,9.79,9.3
2013-01-19,0.5,-2.5,4.6,,59.9,2.0,7.74,6.5
2013-01-20,1.6,-2.0,4.1,,55.8,3.1,5.52,0.4
2013-01-21,2.2,1.1,4.0,16.5,83.6,4.3,0.97,0.0
2013-01-22,3.8,2.0,6.0,0.5,74.3,2.2,4.16,0.0
2013-01-23,1.8,1.0,3.8,1.5,80.4,3.1,0.89,0.0
2013-01-24,-0.9,-6.7,2.4,0.1,57.6,4.3,3.52,2.4
2013-01-25,-9.1,-10.8,-6.5,,37.5,4.7,11.26,9.5
2013-01-26,-9.2,-11.9,-5.1,,37.0,3.5,11.27,9.6
2013-01-27,-7.3,-10.7,-3.9,,44.9,2.6,10.9,9.5
2013-01-28,-3.5,-8.9,0.2,,56.0,2.1,6.04,3.7
2013-01-29,2.2,-0.3,3.7,0.0,63.5,2.7,1.8,0.0
2013-01-30,5.4,3.5,8.5,,68.8,2.1,4.65,0.7
2013-01-31,7.4,3.7,11.5,0.0,59.5,2.9,7.45,6.4
2013-02-01,7.3,3.7,9.3,46.5,85.8,3.7,0.64,0.0
2013-02-02,-1.1,-4.5,3.7,,52.1,4.1,12.19,9.4
2013-02-03,-3.2,-5.8,-1.1,7.5,62.3,2.7,2.7,0.2
2013-02-04,-0.8,-3.3,2.5,7.4,77.1,2.6,8.18,6.1
2013-02-05,-0.6,-4.0,2.7,4.5,77.0,2.4,3.16,0.0
2013-02-06,-1.5,-3.1,0.2,2.1,75.0,3.3,9.35,5.8
